SP([Si](C)(C)C)C(O)=O
[SiH3]P([Si](C)(C)C)SC
SP([Si](C)(C)C)S
[SiH3]P([Si](C)(C)C)S
[SiH3]P([Si](C)(C)C)[SiH3]
C[Si](C)(C)P([Si](C)(C)C)C3=C(F)C=CC=C3F
C[Si](C)(C)P([Si](C)(C)C)C1=CC(F)=CC(F)=C1
C[Si](C)(C)P([Si](C)(C)C)Br
C[Si](C)(C)P([Si](C)(C)C)C(F)(F)F
C[Si](C)(C)P([Si](C)(C)C)C(Cl)
C[Si](C)(C)P([Si](C)(C)C)C(F)
C[Si](C)(C)P([Si](C)(C)C)CO
C[Si](C)(C)P([Si](C)(C)C)C=O
C[Si](C)(C)P([Si](C)(C)C)Cl
C[Si](C)(C)P([Si](C)(C)C)C#N
C[Si](C)(C)P([Si](C)(C)C)C(C)=O
C[Si](C)(C)P([Si](C)(C)C)C(N)=O
C[Si](C)(C)P([Si](C)(C)C)C(OC)=O
C[Si](C)(C)P([Si](C)(C)C)C(O)=O
C[Si](C)(C)P([Si](C)(C)C)C1CCCCC1
C[Si](C)(C)P([Si](C)(C)C)CC
C[Si](C)(C)P([Si](C)(C)C)F
C[Si](C)(C)P([Si](C)(C)C)
C[Si](C)(C)P([Si](C)(C)C)I
C[Si](C)(C)P([Si](C)(C)C)C
C[Si](C)(C)P([Si](C)(C)C)C1=C(C)C=C(C)C=C1(C)
C[Si](C)(C)P([Si](C)(C)C)N(C)C
C[Si](C)(C)P([Si](C)(C)C)N
C[Si](C)(C)P([Si](C)(C)C)NC
C[Si](C)(C)P([Si](C)(C)C)[N+]([O-])=O
C[Si](C)(C)P([Si](C)(C)C)O
C[Si](C)(C)P([Si](C)(C)C)OC
C[Si](C)(C)P([Si](C)(C)C)C1=CC=CC=C1
C[Si](C)(C)P([Si](C)(C)C)SC
C[Si](C)(C)P([Si](C)(C)C)S
C[Si](C)(C)P([Si](C)(C)C)[SiH3]
BrP(Br)Br
BrP(C(F)(F)F)Br
BrP(Cl)Br
BrP(C#N)Br
BrP(C(C)=O)Br
BrP(C(N)=O)Br
BrP(C(OC)=O)Br
BrP(C(O)=O)Br
BrP(C1CCCCC1)Br
BrP(F)Br
BrP(I)Br
BrP(C)Br
BrP(N)Br
BrP(O)Br
BrP(OC)Br
BrP(C1=CC=CC=C1)Br
BrP(SC)Br
BrP(S)Br
BrP([SiH3])Br
FC(F)(F)P(C(F)(F)F)Br
FC(F)(F)P(Cl)Br
FC(F)(F)P(C#N)Br
FC(F)(F)P(C(C)=O)Br
FC(F)(F)P(C(N)=O)Br
FC(F)(F)P(C(OC)=O)Br
FC(F)(F)P(C(O)=O)Br
FC(F)(F)P(C1CCCCC1)Br
FC(F)(F)P(F)Br
FC(F)(F)P(I)Br
FC(F)(F)P(C)Br
FC(F)(F)P(N)Br
FC(F)(F)P(O)Br
FC(F)(F)P(OC)Br
FC(F)(F)P(C1=CC=CC=C1)Br
FC(F)(F)P(SC)Br
FC(F)(F)P(S)Br
FC(F)(F)P([SiH3])Br
ClP(Cl)Br
N#CP(Cl)Br
O=C(C)P(Cl)Br
O=C(N)P(Cl)Br
O=C(OC)P(Cl)Br
O=C(O)P(Cl)Br
ClP(C1CCCCC1)Br
ClP(F)Br
ClP(I)Br
ClP(C)Br
ClP(N)Br
ClP(O)Br
ClP(OC)Br
ClP(C1=CC=CC=C1)Br
ClP(SC)Br
ClP(S)Br
ClP([SiH3])Br
N#CP(C#N)Br
N#CP(C(C)=O)Br
N#CP(C(N)=O)Br
N#CP(C(OC)=O)Br
N#CP(C(O)=O)Br
N#CP(C1CCCCC1)Br
N#CP(F)Br
N#CP(I)Br
N#CP(C)Br
N#CP(N)Br
N#CP(O)Br
N#CP(OC)Br
N#CP(C1=CC=CC=C1)Br
N#CP(SC)Br
N#CP(S)Br
N#CP([SiH3])Br
O=C(C)P(C(C)=O)Br
O=C(C)P(C(N)=O)Br
O=C(C)P(C(OC)=O)Br
O=C(C)P(C(O)=O)Br
O=C(C)P(C1CCCCC1)Br
O=C(C)P(F)Br
O=C(C)P(I)Br
O=C(C)P(C)Br
O=C(C)P(N)Br
O=C(C)P(O)Br
O=C(C)P(OC)Br
O=C(C)P(C1=CC=CC=C1)Br
O=C(C)P(SC)Br
O=C(C)P(S)Br
O=C(C)P([SiH3])Br
O=C(N)P(C(N)=O)Br
O=C(N)P(C(OC)=O)Br
O=C(N)P(C(O)=O)Br
O=C(N)P(C1CCCCC1)Br
O=C(N)P(F)Br
O=C(N)P(I)Br
O=C(N)P(C)Br
O=C(N)P(N)Br
O=C(N)P(O)Br
O=C(N)P(OC)Br
O=C(N)P(C1=CC=CC=C1)Br
O=C(N)P(SC)Br
O=C(N)P(S)Br
O=C(N)P([SiH3])Br
O=C(OC)P(C(OC)=O)Br
O=C(OC)P(C(O)=O)Br
O=C(OC)P(C1CCCCC1)Br
O=C(OC)P(F)Br
O=C(OC)P(I)Br
O=C(OC)P(C)Br
O=C(OC)P(N)Br
O=C(OC)P(O)Br
O=C(OC)P(OC)Br
O=C(OC)P(C1=CC=CC=C1)Br
O=C(OC)P(SC)Br
O=C(OC)P(S)Br
O=C(OC)P([SiH3])Br
O=C(O)P(C(O)=O)Br
O=C(O)P(C1CCCCC1)Br
O=C(O)P(F)Br
O=C(O)P(I)Br
O=C(O)P(C)Br
O=C(O)P(N)Br
O=C(O)P(O)Br
O=C(O)P(OC)Br
O=C(O)P(C1=CC=CC=C1)Br
O=C(O)P(SC)Br
O=C(O)P(S)Br
O=C(O)P([SiH3])Br
C1CCCCC1P(C1CCCCC1)Br
C1CCCCC1P(F)Br
C1CCCCC1P(I)Br
C1CCCCC1P(C)Br
C1CCCCC1P(N)Br
C1CCCCC1P(O)Br
C1CCCCC1P(OC)Br
C1CCCCC1P(C1=CC=CC=C1)Br
C1CCCCC1P(SC)Br
C1CCCCC1P(S)Br
C1CCCCC1P([SiH3])Br
FP(F)Br
FP(I)Br
FP(C)Br
FP(N)Br
FP(O)Br
FP(OC)Br
FP(C1=CC=CC=C1)Br
FP(SC)Br
FP(S)Br
FP([SiH3])Br
IP(I)Br
IP(C)Br
IP(N)Br
IP(O)Br
IP(OC)Br
IP(C1=CC=CC=C1)Br
IP(SC)Br
IP(S)Br
IP([SiH3])Br
CP(C)Br
CP(N)Br
CP(O)Br
CP(OC)Br
CP(C1=CC=CC=C1)Br
CP(SC)Br
CP(S)Br
CP([SiH3])Br
NP(N)Br
NP(O)Br
NP(OC)Br
NP(C1=CC=CC=C1)Br
NP(SC)Br
NP(S)Br
NP([SiH3])Br
OP(O)Br
OP(OC)Br
OP(C1=CC=CC=C1)Br
OP(SC)Br
OP(S)Br
OP([SiH3])Br
COP(OC)Br
COP(C1=CC=CC=C1)Br
COP(SC)Br
COP(S)Br
COP([SiH3])Br
C1=CC=CC=C1P(C1=CC=CC=C1)Br
C1=CC=CC=C1P(SC)Br
C1=CC=CC=C1P(S)Br
C1=CC=CC=C1P([SiH3])Br
CSP(SC)Br
CSP(S)Br
CSP([SiH3])Br
SP(S)Br
SP([SiH3])Br
[SiH3]P([SiH3])Br
FC(F)(F)P(C(F)(F)F)C(F)(F)F
FC(F)(F)P(Cl)C(F)(F)F
FC(F)(F)P(C#N)C(F)(F)F
FC(F)(F)P(C(C)=O)C(F)(F)F
FC(F)(F)P(C(N)=O)C(F)(F)F
FC(F)(F)P(C(OC)=O)C(F)(F)F
FC(F)(F)P(C(O)=O)C(F)(F)F
FC(F)(F)P(C1CCCCC1)C(F)(F)F
FC(F)(F)P(F)C(F)(F)F
FC(F)(F)P(I)C(F)(F)F
FC(F)(F)P(N)C(F)(F)F
FC(F)(F)P(O)C(F)(F)F
FC(F)(F)P(OC)C(F)(F)F
FC(F)(F)P(C1=CC=CC=C1)C(F)(F)F
FC(F)(F)P(SC)C(F)(F)F
FC(F)(F)P(S)C(F)(F)F
FC(F)(F)P([SiH3])C(F)(F)F
ClP(Cl)C(F)(F)F
N#CP(Cl)C(F)(F)F
O=C(C)P(Cl)C(F)(F)F
O=C(N)P(Cl)C(F)(F)F
O=C(OC)P(Cl)C(F)(F)F
O=C(O)P(Cl)C(F)(F)F
ClP(C1CCCCC1)C(F)(F)F
ClP(F)C(F)(F)F
ClP(I)C(F)(F)F
ClP(C)C(F)(F)F
ClP(N)C(F)(F)F
ClP(O)C(F)(F)F
ClP(OC)C(F)(F)F
ClP(C1=CC=CC=C1)C(F)(F)F
ClP(SC)C(F)(F)F
ClP(S)C(F)(F)F
ClP([SiH3])C(F)(F)F
N#CP(C#N)C(F)(F)F
N#CP(C(C)=O)C(F)(F)F
N#CP(C(N)=O)C(F)(F)F
N#CP(C(OC)=O)C(F)(F)F
N#CP(C(O)=O)C(F)(F)F
N#CP(C1CCCCC1)C(F)(F)F
N#CP(F)C(F)(F)F
N#CP(I)C(F)(F)F
N#CP(C)C(F)(F)F
N#CP(N)C(F)(F)F
N#CP(O)C(F)(F)F
N#CP(OC)C(F)(F)F
N#CP(C1=CC=CC=C1)C(F)(F)F
N#CP(SC)C(F)(F)F
N#CP(S)C(F)(F)F
N#CP([SiH3])C(F)(F)F
O=C(C)P(C(C)=O)C(F)(F)F
O=C(C)P(C(N)=O)C(F)(F)F
O=C(C)P(C(OC)=O)C(F)(F)F
O=C(C)P(C(O)=O)C(F)(F)F
O=C(C)P(C1CCCCC1)C(F)(F)F
O=C(C)P(F)C(F)(F)F
O=C(C)P(I)C(F)(F)F
O=C(C)P(C)C(F)(F)F
O=C(C)P(N)C(F)(F)F
O=C(C)P(O)C(F)(F)F
O=C(C)P(OC)C(F)(F)F
O=C(C)P(C1=CC=CC=C1)C(F)(F)F
O=C(C)P(SC)C(F)(F)F
O=C(C)P(S)C(F)(F)F
O=C(C)P([SiH3])C(F)(F)F
O=C(N)P(C(N)=O)C(F)(F)F
O=C(N)P(C(OC)=O)C(F)(F)F
O=C(N)P(C(O)=O)C(F)(F)F
O=C(N)P(C1CCCCC1)C(F)(F)F
O=C(N)P(F)C(F)(F)F
O=C(N)P(I)C(F)(F)F
O=C(N)P(C)C(F)(F)F
O=C(N)P(N)C(F)(F)F
O=C(N)P(O)C(F)(F)F
O=C(N)P(OC)C(F)(F)F
O=C(N)P(C1=CC=CC=C1)C(F)(F)F
O=C(N)P(SC)C(F)(F)F
O=C(N)P(S)C(F)(F)F
O=C(N)P([SiH3])C(F)(F)F
O=C(OC)P(C(OC)=O)C(F)(F)F
O=C(OC)P(C(O)=O)C(F)(F)F
O=C(OC)P(C1CCCCC1)C(F)(F)F
O=C(OC)P(F)C(F)(F)F
O=C(OC)P(I)C(F)(F)F
O=C(OC)P(C)C(F)(F)F
O=C(OC)P(N)C(F)(F)F
O=C(OC)P(O)C(F)(F)F
O=C(OC)P(OC)C(F)(F)F
O=C(OC)P(C1=CC=CC=C1)C(F)(F)F
O=C(OC)P(SC)C(F)(F)F
O=C(OC)P(S)C(F)(F)F
O=C(OC)P([SiH3])C(F)(F)F
O=C(O)P(C(O)=O)C(F)(F)F
O=C(O)P(C1CCCCC1)C(F)(F)F
O=C(O)P(F)C(F)(F)F
O=C(O)P(I)C(F)(F)F
O=C(O)P(C)C(F)(F)F
O=C(O)P(N)C(F)(F)F
O=C(O)P(O)C(F)(F)F
O=C(O)P(OC)C(F)(F)F
O=C(O)P(C1=CC=CC=C1)C(F)(F)F
O=C(O)P(SC)C(F)(F)F
O=C(O)P(S)C(F)(F)F
O=C(O)P([SiH3])C(F)(F)F
C1CCCCC1P(C1CCCCC1)C(F)(F)F
C1CCCCC1P(F)C(F)(F)F
C1CCCCC1P(I)C(F)(F)F
C1CCCCC1P(C)C(F)(F)F
C1CCCCC1P(N)C(F)(F)F
C1CCCCC1P(O)C(F)(F)F
C1CCCCC1P(OC)C(F)(F)F
C1CCCCC1P(C1=CC=CC=C1)C(F)(F)F
C1CCCCC1P(SC)C(F)(F)F
C1CCCCC1P(S)C(F)(F)F
C1CCCCC1P([SiH3])C(F)(F)F
FP(F)C(F)(F)F
FP(I)C(F)(F)F
FP(C)C(F)(F)F
FP(N)C(F)(F)F
FP(O)C(F)(F)F
FP(OC)C(F)(F)F
FP(C1=CC=CC=C1)C(F)(F)F
FP(SC)C(F)(F)F
FP(S)C(F)(F)F
